Disease,Specialist,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,Dermatologist,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,
Fungal infection,Dermatologist,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,Dermatologist,itching,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,Dermatologist,itching,skin_rash,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,Dermatologist,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,Dermatologist,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,Dermatologist,itching,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,Dermatologist,itching,skin_rash,dischromic _patches,,,,,,,,,,,,,,
Fungal infection,Dermatologist,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,
Fungal infection,Dermatologist,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,
Allergy,Allergist,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
Allergy,Allergist,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,Allergist,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,Allergist,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,Allergist,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,Allergist,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,Allergist,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,
Allergy,Allergist,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,
Allergy,Allergist,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,
Allergy,Allergist,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,acidity,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,,,,,,,,,,,,
GERD,Gastroenterologist,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,acidity,vomiting,cough,chest_pain,,,,,,,,,,,,
GERD,Gastroenterologist,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,
Chronic cholestasis,Hepatologist,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,
Chronic cholestasis,Hepatologist,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,
Drug Reaction,Allergist,itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,
Drug Reaction,Allergist,itching,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,Allergist,itching,skin_rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,Allergist,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,Allergist,itching,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,
Drug Reaction,Allergist,skin_rash,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,Allergist,itching,stomach_pain,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,Allergist,itching,skin_rash,burning_micturition,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,Allergist,itching,skin_rash,stomach_pain,spotting_ urination,,,,,,,,,,,,,
Drug Reaction,Allergist,itching,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,
Peptic ulcer diseae,Gastroenterologist,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,
AIDS,Osteopathic,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,
AIDS,Osteopathic,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,Osteopathic,muscle_wasting,high_fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,Osteopathic,muscle_wasting,patches_in_throat,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,Osteopathic,muscle_wasting,patches_in_throat,high_fever,,,,,,,,,,,,,,
AIDS,Osteopathic,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,
AIDS,Osteopathic,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,
AIDS,Osteopathic,patches_in_throat,high_fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,Osteopathic,muscle_wasting,high_fever,extra_marital_contacts,,,,,,,,,,,,,,
AIDS,Osteopathic,muscle_wasting,patches_in_throat,high_fever,,,,,,,,,,,,,,
Diabetes,Endocrinologist,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,
Diabetes,Endocrinologist,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,
Diabetes,Endocrinologist,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,Endocrinologist,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,Endocrinologist,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,Endocrinologist,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,Endocrinologist,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,Endocrinologist,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,Endocrinologist,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,,,,,,,,
Diabetes,Endocrinologist,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,,,,,,,,
Gastroenteritis,Gastroenterologist,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,vomiting,sunken_eyes,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,vomiting,sunken_eyes,dehydration,,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,vomiting,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,sunken_eyes,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,vomiting,dehydration,diarrhoea,,,,,,,,,,,,,,
Gastroenteritis,Gastroenterologist,vomiting,sunken_eyes,diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,fatigue,cough,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,fatigue,cough,high_fever,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,fatigue,cough,high_fever,breathlessness,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,fatigue,cough,high_fever,breathlessness,family_history,,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,cough,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
Bronchial Asthma,Pulmonologist,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,,,,,,,,,,,,
